,app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
0,13500,Prince of Persia: Warrior Within™,2008-11-21,1,0,0,7,84,2199,9.99,9.99,0.0,1
1,22364,BRINK: Agents of Change,2011-08-03,1,0,0,5,85,21,2.99,2.99,0.0,1
2,113020,Monaco: What's Yours Is Mine,2013-04-24,1,1,1,7,92,3722,14.99,14.99,0.0,1
3,226560,Escape Dead Island,2014-11-18,1,0,0,4,61,873,14.99,14.99,0.0,1
4,249050,Dungeon of the ENDLESS™,2014-10-27,1,1,0,7,88,8784,11.99,11.99,0.0,1
5,250180,METAL SLUG 3,2015-09-14,1,0,0,7,90,5579,7.99,7.99,0.0,1
6,253980,Enclave,2013-10-04,1,1,1,6,75,1608,4.99,4.99,0.0,1
7,271850,Men of War: Assault Squad 2 - Deluxe Edition upgrade,2014-05-16,1,0,0,4,61,199,6.99,6.99,0.0,1
8,282900,Hyperdimension Neptunia Re;Birth1,2015-01-29,1,0,0,7,94,9686,14.99,14.99,0.0,1
9,19810,The Sum of All Fears,2008-10-10,1,0,0,6,75,33,9.99,9.99,0.0,1
10,15270,Cold Fear™,2008-05-13,1,0,0,7,85,800,9.99,9.99,0.0,1
11,21130,LEGO® Harry Potter: Years 1-4,2010-06-25,1,0,0,7,85,5169,19.99,19.99,0.0,1
12,22130,Hearts of Iron 2 Complete,2009-01-23,1,0,0,7,85,462,14.99,14.99,0.0,1
13,29180,Osmos,2009-08-18,1,1,1,7,88,532,9.99,9.99,0.0,1
14,32750,Comanche 4,2009-06-18,1,0,0,7,90,222,9.99,9.99,0.0,1
15,241620,Inquisitor,2013-08-01,1,0,0,6,70,390,9.99,9.99,0.0,1
16,408520,FORM,2017-06-01,1,0,0,7,91,934,14.99,14.99,0.0,1
17,244910,Homesick,2015-05-28,1,0,0,6,77,1139,14.99,14.99,0.0,1
18,245950,Borderlands 2: Headhunter 4: Wedding Day Massacre,2014-02-11,1,1,1,7,84,294,0.89,2.99,70.0,1
19,250460,Bridge Constructor,2013-10-16,1,1,1,6,77,716,2.39,19.99,88.0,1
20,278890,Angvik,2014-02-24,1,1,0,7,88,1986,2.99,2.99,0.0,1
21,305181,Sniper Elite 3 - Camouflage Weapons Pack,2014-06-27,1,0,0,7,95,74,3.99,3.99,0.0,1
22,312200,Chasm,2018-07-30,1,1,1,6,73,1065,19.99,19.99,0.0,1
23,321290,Dandelion - Wishes brought to you -,2014-09-29,1,1,0,7,85,589,29.99,29.99,0.0,1
24,329640,Eradicator,2014-11-06,1,1,1,7,88,60,6.99,6.99,0.0,1
25,367670,Controller Companion,2015-05-04,1,0,0,7,90,2323,2.99,2.99,0.0,1
26,380810,Herald: An Interactive Period Drama - Book I & II,2017-02-22,1,1,1,7,89,97,9.99,9.99,0.0,1
27,392330,Take Command - 2nd Manassas,2016-10-28,1,0,0,7,93,62,9.99,9.99,0.0,1
28,437000,GUILTY GEAR 2 -OVERTURE-,2016-03-31,1,0,0,6,71,214,19.99,19.99,0.0,1
29,445420,Aselia the Eternal -The Spirit of Eternity Sword-,2016-04-29,1,0,0,7,82,63,14.99,14.99,0.0,1
30,458790,The House in Fata Morgana Original Soundtrack,2016-05-13,0,0,0,5,100,32,11.99,11.99,0.0,1
31,462280,Offworld Trading Company - Soundtrack DLC,2016-04-28,1,1,0,5,80,10,9.99,9.99,0.0,1
32,1872790,Luckitown,2022-01-19,1,1,0,7,86,163,4.99,4.99,0.0,1
